new	mới
believe	tin
delay	trì hoãn
wide	rộng
paper	giấy
strong	mạnh
test	kiểm tra
web	mạng
desk	cái bàn
life	cuộc sống / cuộc đời
leave	rời đi / rời khỏi
comment	lời bình
teach	dạy
book	đặt (phòng, vé...)
course	khóa học
lost	mất
late	trễ
decision	quyết định (n)
retire	về hưu
festival	lễ hội
tourist	khách du lịch
drink	uống / đồ uống
party	bữa tiệc
relations	quan hệ
America	nước Mỹ
someone	ai đó
garden	vườn
volunteer	người tình nguyện
person	người
responsible	chịu trách nhiệm
sport	thể thao
hospital	bệnh viện
happen	xảy ra
wish	muốn
down	xuống
too	quá
million	triệu
camera	máy ảnh / máy quay phim
Asia	châu Á
often	thường xuyên
answer	trả lời
demand	nhu cầu
put	đặt / để
happy	vui
front	trước
movie	bộ phim
seat	chỗ ngồi
protect	bảo vệ
difficult	khó khăn
talk	nói chuyện
kitchen	nhà bếp
lunch	bữa trưa
maintain	duy trì / bảo trì
easy	dễ dàng
away	xa
dinner	bữa tối
television / TV	truyền hình / tivi
wait	chờ
rise	tăng
avoid	tránh
understand	hiểu
color	màu sắc
deadline	hạn chót
goal	mục tiêu
post	đăng
contain	chứa đựng
agree	đồng ý
finish	hoàn thành
enough	đủ
newspaper	báo
look	nhìn
simple	đơn giản
performance	buổi biểu diễn
expensive	đắt tiền
afternoon	buổi chiều
menu	thực đơn
grow	gia tăng / phát triển
together	cùng / cùng nhau
coffee	cà phê
short	ngắn
branch	chi nhánh
real	thực sự
famous	nổi tiếng
daily	hàng ngày
weather	thời tiết
everyone	mọi người
advice	lời khuyên
friend	người bạn
friendly	thân thiện
big	lớn
never	không bao giờ
box	hộp
swimming pool	hồ bơi
outside	bên ngoài
salary	tiền lương
responsibility	trách nhiệm
fast	nhanh
anyone	bất kỳ ai
carefully	cẩn thận
style	phong cách
remind	nhắc nhở
ability	khả năng
adult	người lớn
cook	nấn ăn
save	tiết kiệm
a lot of	nhiều
clear	rõ ràng
game	trò chơi
graduate	tốt nghiệp
share	chia sẻ
walk	đi bộ
beautiful	đẹp
hold	giữ
yesterday	hôm qua
knowledge	kiến thức
table	cái bàn
picture	bức ảnh
holiday	kỳ nghỉ / lỳ lễ
culture	văn hóa
half	nửa
correct	đúng / chỉnh sửa
paint	sơn
usually	thường xuyên
last	cuối cùng
error	lỗi
comfortable	thoải mái
wedding	đám cưới
traveler	hành khách
printer	máy in
ready	sẵn sàng
everything	mọi thứ
clothing	quần áo
fashion	thời trang
topic	chủ đề
exercise	tập (thể dục)
sorry	xin lỗi / tiếc
eat	ăn
third	thứ ba / một phần ba
door	cửa
gym	phòng tập thể dục
wear	mặc / mang
young	trẻ
perfect	hoàn hảo
electricity	điện
evening	buổi tối
things	thứ / điều
men	đàn ông
stop	dừng / điểm dừng
breakfast	bữa sáng
reply	trả lời
cut	cắt / cắt giảm
step	bước
weekly	hàng tuần
suitable	phù hợp
search	tìm kiếm
play	chơi
right	đúng
dollar	đô la
opinion	ý kiến
seem	có vẻ như
cooperation	sự hợp tác
example	ví dụ
band	ban nhạc
resort	khu nghỉ mát
age	tuổi
on time	đúng giờ
little	ít
traffic	giao thông
key	chìa khóa / then chốt
prize	giải thưởng
woman	phụ nữ
mobile	di động
heavy	nặng / lớn
tomorrow	ngày mai
busy	bận rộn
bag	túi / túi xách
face	mặt / đối mặt
white	màu trắng
blue	xanh dương
advise	khuyên / thông báo
story	câu chuyện
useful	hữu ích
black	màu đen
river	con sông
depend	phụ thuộc
compare	so sánh
lake	hồ
wine	rượu vang
mistake	lỗi lầm / nhầm lẫn
farm	nông trại
mean	có nghĩa
hand	tay
brown	màu nâu
flower	hoa
image	hình ảnh
inside	bên trong
swimming	bơi
wash	giặt / rửa
hard	chăm chỉ
doctor	bác sĩ
discussion	buổi thảo luận
modern	hiện đại
action	hành động
mountain	ngọn núi
perform	biểu diễn
vegetables	rau
beside	bên cạnh
cake	bánh
fly	bay
winter	mùa đông
remember	nhớ
red	màu đỏ
behind	phía sau
boat	con thuyền
uniform	đồng phục
chair	ghế
automatic	tự động
congratulations	chúc mừng
watch	xem
way	đường
bed	cái giường
light	ánh sáng / đèn
foreign	nước ngoài
confident	tự tin
noon	trưa
password	mật khẩu
window	cửa sổ
United States	Mỹ
hot	nóng
fun	vui
teacher	giáo viên
himself	chính anh ấy / tự anh ấy
fan	người hâm mộ
beach	bãi biển
forget	quên
calendar	lịch
speed	tốc độ
study	học
cream	kem
body	cơ thể / thân
shoe	giày
fruit	trái cây
love	yêu thích / yêu thương
plane	máy bay
animal	động vật / con vật
parent	cha mẹ
cheap	rẻ
drop	giảm / rơi
trust	tin tưởng
wall	bức tường
green	xanh
back	phía sau
dry	khô
accident	tai nạn
sound	âm thanh
spring	mùa xuân
mind	tâm trí
tea	trà
truck	xe tải
far	xa
wish	chúc
island	hòn đảo
exit	lối ra
break	làm vỡ / phá vỡ
billion	một tỷ
stand	đứng
refrigerator	tủ lạnh
bike	xe đạp
fire	vụ cháy / chữa cháy
bedroom	phòng ngủ
fine	tốt
hello	chào
clothes	quần áo
hundred	một trăm
wrong	sai
Mrs.	bà
bad	xấu / tồi tệ
eye	mắt
cheese	phô mai
bicycle	xe đạp
star	ngôi sao
hard	khó
map	bản đồ
hair	tóc
cell phone	điện thoại di động
sea	biển
shirt	áo sơ mi
carry	mang / mang theo
twelve	mười hai
middle	giữa
sometimes	đôi khi
bathroom	phòng tắm
warm	ấm
nothing	không cái gì
lesson	bài học
actor	diễn viên
practice	luyện tập
rain	mưa
heart	trái tim
sit	ngồi
myself	chính tôi
miss	cô
thousand	một nghìn
too	cũng
rice	gạo
ourselves	chính chúng tôi
maximum	tối đa
kid	trẻ em
voice	giọng nói
quiet	yên tĩnh
apple	quả táo
turn off	tắt
alone	chỉ riêng / một mình
sun	mặt trời
listen	nghe
draw	vẽ
sick	bị bệnh
police	cảnh sát
anytime	bất kỳ lúc nào
zoo	sở thú
toy	đồ chơi
dream	ước mơ
T-shirt	áo thun
dish	đĩa
ship	thuyền
board	bảng
post office	bưu điện
kind	tử tế
let's	hãy
waste	lãng phí
tour guide	hướng dẫn viên du lịch
present	món quà
soft	mềm / nhẹ
press	ấn nút
miss	nhớ
right	bên phải
glass	cái ly
offer	cung cấp / đem lại
available	có
item	món hàng / món đồ
recent	gần đây / vừa rồi
local	địa phương
position	vị trí
sales	bán hàng
discount	giảm giá
advertisement	mẫu quảng cáo
indicate	chỉ ra
purpose	mục đích
finance	tài chính
line	dòng (sản phẩm, chữ)
interested	quan tâm
reserve	đặt (phòng, bàn...)
location	địa điểm
detail	chi tiết / nêu chi tiết
public	công chúng / công cộng
community	cộng đồng
market	thị trường / chợ
payment	thanh toán / tiền thanh toán
operate	hoạt động / vận hành
likely	có thể
recommend	đề nghị
industry	ngành
survey	khảo sát
facility	cơ sở
annual	hàng năm
promote	quảng bá / thúc đẩy
even	thậm chí
access	tiếp cận / truy cập
application	đơn xin
manufacture	sản xuất
due to	do
award	giải thưởng
replace	thay thế
possible	có thể
package	gói hàng / gói dịch vụ
several	một vài
session	buổi
material	vật liệu / tài liệu
resource	nguồn (lực, tài liệu...)
once	một khi / một lần
rate	giá / đánh giá
security	an ninh / an toàn
through	qua / thông qua
based	dựa trên / đặt
locate	đặt
exhibit	triển lãm
those	những người / những cái
previous	trước đây
take	tốn (thời gian)
propose	đề xuất
human resources	nhân sự
respond	trả lời / phản hồi
owner	người chủ
memo	thông báo
appreciate	cảm kích
compete	cạnh tranh
already	rồi
need	nhu cầu
mail	thư (bưu điện)
resident	người dân
suggest	đề xuất
enclose	đính kèm
representative	người đại diện
least	ít nhất
workshop	hội thảo
firm	công ty
employ	tuyển dụng
show	buổi diễn / triển lãm / chương trình
refund	tiền hoàn lại
process	quy trình
résumé	sơ yếu lý lịch
transport	vận chuyển
supplies	vật dụng
assistant	trợ lý
damage	thiệt hại
conduct	tiến hành
candidate	ứng cử viên
directly	trực tiếp
since	bởi vì
regarding	về (=about)
original	ban đầu
experience	trải nghiệm / trải qua
production	việc sản xuất / sản lượng
assist	hỗ trợ
applicant	người nộp đơn
upcoming	sắp diễn ra
fill out / fill in	điền
popular	phổ biến
place	đặt
renovate	tân trang
consulting	việc tư vấn
among	giữa
warranty	bảo hành
fund	quỹ
update	cập nhật
option	sự lựa chọn
present	trình bày / xuất trình / trao
profit	lợi nhuận
further	thêm
apartment	căn hộ
insurance	bảo hiểm
such as	như là
over	trong vòng
prefer	ưa thích hơn
instruction	sự hướng dẫn
career	sự nghiệp
ensure	đảm bảo
feature (v)	có / bao gồm
effective	hiệu quả
type	loại
supply	cung cấp
renew	gia hạn
airline	hãng hàng không
board	ban
whether	liệu... hay không / bất kể
potential	có tiềm năng
consumer	người tiêu dùng
head	người đứng đầu
meet	đáp ứng
period	khoản thời gian
condition	điều kiện
concern	sự lo lắng
efficient	hiệu quả
advance	trước
agency	công ty
budget	ngân sách
contribute	đóng góp
as well as	cũng như
energy	năng lượng
depart	khởi hành
issue	vấn đề
below	bên dưới
variety	sự đa dạng
subscription	việc đặt báo, tạp chí...
model	mẫu sản phẩm
hall	hội trường
supervisor	người giám sát
remain	vẫn còn / vẫn luôn
estimate	ước tính
approve	chấp thuận
sample	mẫu / mẫu thử
therefore	vì vậy
property	bất động sản / nhà / đất
cause	gây ra
individual	cá nhân
as soon as	ngay khi
extra	thêm
along	dọc theo
passenger	hành khách
distribute	phân phối / phân phát
probably	có thể
throughout	xuyên suốt / khắp
CEO	tổng giám đốc
apply	áp dụng
yet	vẫn chưa
region	vùng
specific	cụ thể
set	thiết lập / cài đặt / sắp đặt
field	lĩnh vực
pick up	lấy / đón
lead	dẫn / dẫn dắt
satisfy	thỏa mãn
maintenance	việc bảo trì
instead	thay vì / thay vì vậy
degree	tấm bằng
strategy	chiến lược
notify	thông báo cho
kind	loại
receipt	biên nhận
study	nghiên cứu
performance	hiệu suất
leave	để lại / để cho
sign up	đăng ký
upon	vào lúc
personnel	nhân sự
exchange	đổi
furniture	đồ nội thất
concert	buổi hòa nhạc
though	mặc dù
take place	diễn ra
significant	đáng kể
expenses	chi phí
retail	bán lẻ
process	xử lý
latest	mới nhất
value	giá trị
either	một trong hai
solution	giải pháp
method	phương pháp
permit	cho phép / giấy phép
case	trường hợp
technical	kỹ thuật
record	hồ sơ / ghi nhận
apologize	xin lỗi
standard	tiêu chuẩn
seek	tìm kiếm
file	tập tin / hồ sơ
raise	tăng / quyên góp
unfortunately	không may
despite	mặc cho
goods	hàng hóa
law	luật
guide	hướng dẫn
feature (n)	đặc tính / tính năng
campaign	chiến dịch
lecture	bài diễn thuyết
issue	số (tạp chí, báo...)
frequent	thường xuyên
temporary	tạm thời
attention	sự chú ý
leader	người lãnh đạo / người dẫn đầu
store	cất trữ
handle	xử lý
related	liên quan
ceremony	buổi lễ
direction	sự hướng dẫn / đường đi
data	dữ liệu
tax	thuế
collect	thu thập
celebrate	ăn mừng
laboratory	phòng thí nghiệm
proper	đúng cách / phù hợp
guarantee	đảm bảo
get	trở nên / được
committee	ủy ban
code	mã
regulation	quy định
impress	gây ấn tượng
as	như / vì / khi
valid	có hiệu lực / hợp lệ
complimentary	miễn phí
artist	nghệ sĩ
quarter	quý (3 tháng)
recruit	tuyển dụng
above	trên
invitation	thư mời
donation	sự đóng góp
site	địa điểm / nơi
launch	tung ra
catalog	danh mục (sản phẩm,...)
division	bộ phận
choice	sự lựa chọn
power	điện / năng lượng
inspection	việc kiểm tra
term	điều khoản
extend	kéo dài
speaker	người diễn thuyết
excited	hào hứng
appear	xuất hiện
partner	đối tác
analyze	phân tích
release	tung ra
fair	hội chợ
prior	trước
effort	nỗ lực
defective	bị lỗi
affect	tác động đến
café / cafeteria	quán ăn uống
express	bày tỏ
device	thiết bị
certificate	giấy chứng nhận
obtain	có được / lấy được
evaluate	đánh giá
range	nhiều loại / sự đa dạng
ever	từ trước đến nay / từng
eligible	đủ điều kiện
across	khắp / bên kia
offer	đề nghị
relocate	dời địa điểm
leading	dẫn đầu
council	hội đồng
inquire	hỏi
recycle	tái chế
determine	xác định
chef	đầu bếp trưởng
demonstrate	chứng tỏ / trình bày
issue	cấp / đưa ra
cost (v)	tốn phí
invoice	hóa đơn
gallery	phòng trưng bày
procedure	quy trình
in person	trực tiếp
check	séc
satisfaction	sự hài lòng
fresh	tươi
approximately	khoảng chừng
found	thành lập
growth	sự tăng trưởng
language	ngôn ngữ
consultant	người tư vấn
technician	kỹ thuật viên
competition	cuộc thi
vice	phó
unless	trừ khi
unique	độc đáo
entrance	lối vào
expert	chuyên gia
initial	ban đầu
almost	hầu như
headquarters	trụ sở
trend	xu hướng
agreement	thỏa thuận
itinerary	lịch trình
average	trung bình
against	chống lại / đối với
upgrade	nâng cấp
except	ngoại trừ
brochure	tờ rơi
speech	bài diễn thuyết
warehouse	nhà kho
outdoor	ngoài trời
effect	tác động / hiệu lực
innovative	đổi mới
full-time	toàn thời gian
downtown	trung tâm thành phố
over	trên
duty	nhiệm vụ
connect	kết nối
opening	vị trí trống
agent	người đại diện
inquiry	câu hỏi
recognize	công nhận
no longer	không còn nữa
minimum	tối thiểu
situation	tình huống
reach	đạt được
management	ban quản lý
host	tổ chức
merchandise	hàng hóa
destination	điểm đến
task	nhiệm vụ
fail	thất bại / không làm
manual	sách hướng dẫn
appliance	thiết bị
transfer	chuyển
implement	ban hành
extensive	trên phạm vi rộng
take advantage of	tận dụng
merger	vụ sáp nhập
leadership	sự lãnh đạo
source	nguồn
beverage	thức uống
anniversary	kỷ niệm
brief	ngắn gọn
shipment	lô hàng
used to	đã từng
quite	khá
feedback	sự phản hồi
revenue	doanh thu
promote	thăng chức
exclusive	riêng / đặc biệt
plant	nhà máy
alternative	thay thế
usual	bình thường / thông thường
due	tới hạn / phải trả
overseas	ở nước ngoài
cash	tiền mặt
dish	món ăn
selection	tập hợp (sản phẩm...)
industrial	công nghiệp
thorough	kỹ lưỡng
accommodation	chỗ ở
instructor	người hướng dẫn
colleague	đồng nghiệp
collection	bộ sưu tập
similar	giống / tương tự
taste	mùi vị / nếm mùi vị
honor	vinh danh / vinh dự
route	tuyến đường
authorize	ủy quyền
real estate	bất động sản
deal with	giải quyết / làm việc với
address	giải quyết
mayor	thị trưởng
dining	ăn uống
audience	khán giả
fix	sửa chữa
exact	chính xác
extremely	cực kỳ
donate	đóng góp
challenge	thách thức
specify	nêu cụ thể
tourism	du lịch
accommodate	đáp ứng / chứa được
remove	loại bỏ
guideline	hướng dẫn
decade	thập kỷ
patient	bệnh nhân
check in	nhận phòng / làm thủ tục
prevent	ngăn
view	xem
assign	chỉ định
control	kiểm soát / điều khiển
establish	thành lập / thiết lập
advantage	lợi thế
helpful	hữu ích
decrease	giảm
expire	hết hạn
occur	xảy ra
summary	bảng tóm tắt
concerning	về (=about)
yourself	chính bạn
traditional	truyền thống
identification	chứng minh thư
affordable	có giá phải chăng
specialize in	chuyên về
familiar	quen thuộc
photography	nhiếp ảnh / việc chụp ảnh
reputation	danh tiếng
otherwise	khác / ngược lại
ingredient	thành phần
capacity	sức chứa / công suất
cover letter	thư xin việc
own	sở hữu
double	gấp đôi
right	quyền
predict	dự đoán
stock	hàng hóa
talk	bài diễn thuyết
fill	làm đầy
enhance	tăng cường
subscriber	người đặt báo, tạp chí...
bonus	tiền thưởng
accompany	đi kèm
negotiate	đàm phán
shuttle	xe trung chuyển
ahead	trước
accurate	chính xác
relationship	mối quan hệ
present	có mặt
board	lên (tàu, xe buýt...)
site	trang web
engineer	kỹ sư
vote	bầu chọn
cause	nguyên nhân
completely	hoàn toàn
recall	thu hồi
agricultural	nông nghiệp
license	giấy phép
postpone	trì hoãn
normal	bình thường
assess	đánh giá
analyst	nhà phân tích
ideal	lý tưởng
promptly	ngay lập tức / nhanh chóng
achieve	đạt được
reschedule	dời lịch
productivity	năng suất
reasonable	hợp lí
fall	rơi / giảm
intern	thực tập sinh
exceed	vượt quá
outstanding	tuyệt vời / xuất sắc
next to	cạnh
twice	hai lần
reliable	đáng tin cậy
ground	mặt đất
adjust	điều chỉnh
examine	kiểm tra
part-time	bán thời gian
equip	trang bị
priority	ưu tiên
resolve	giải quyết
creative	sáng tạo
screen	màn hình
figure	con số
decline	giảm
temperature	nhiệt độ
voucher	phiếu giảm giá
assemble	lắp ráp / tập hợp
gather	thu thập / tập hợp
recipient	người nhận
rarely	hiếm khi
acquire	mua lại / có được
willing	sẵn lòng
moreover	hơn nữa
click	nhấp chuột
flexible	linh hoạt
outline	vạch ra
in spite of	mặc cho
baggage	hành lý
lobby	tiền sảnh
land	đất
shift	ca làm việc
whereas	trong khi
neither	không cái nào
independent	độc lập
highway	đường cao tốc
comprehensive	toàn diện
dessert	món tráng miệng
signature	chữ ký
target	mục tiêu / nhắm đến
function	chức năng
solve	giải quyết
plant	cái cây
disappoint	gây thất vọng
sign	bảng hiệu / dấu hiệu
loyal	trung thành
furthermore	hơn nữa
luggage	hành lý
mostly	hầu hết
delicious	ngon
appoint	bổ nhiệm
committed	tận tâm
trash	rác
interesting	thú vị
generous	hào phóng
nevertheless	tuy nhiên
hardly	hầu như không
broad	rộng
subject	chủ đề
sincerely	chân thành
word	từ
paragraph	đoạn văn
corporation	tập đoàn
per	mỗi
state	nói / chỉ ra
dr.	tiến sĩ / bác sĩ
credit	tín dụng
executive	điều hành / người điều hành
medical	y tế
own	chính (ai đó)
town	thị trấn / thành phố
communication	giao tiếp / liên lạc
fitness	thể hình / thể dục
offer	khuyến mãi
education	giáo dục
oil	dầu
editor	biên tập viên
brand	thương hiệu
intend	dự định
focus	tập trung
point	điểm
10% off	giảm giá 10%
various	khác nhau
infer	suy ra
europe	châu âu
section	phần
association	hiệp hội
such	như vậy
reference	sự tham khảo
author	tác giả
south	phía nam
actually	thực ra / thực sự
series	xê-ri
aware of	biết / nhận thức
east	phía đông
recipe	công thức nấu ăn
chief	tổng / trưởng
matter	vấn đề
network	mạng lưới
north	phía bắc
natural	tự nhiên / thiên nhiên
loan	khoản vay
commercial	thương mại
rate	tỉ lệ
get	đi
battery	cục pin
grant	tiền trợ cấp / cấp
chance	cơ hội
pass	thẻ
status	trạng thái
newsletter	thư tin tức
society	hiệp hội
perform	thực hiện
cover	bao gồm
west	phía tây
internship	đợt thực tập
official	quan chức
through	đến
district	khu vực
via	bằng
ID	chứng minh thư
gas	ga / xăng
digital	kỹ thuật số
toward	hướng về phía / đối với
sponsor	nhà tài trợ
appropriate	phù hợp
as well	cũng
side	phía / bên
track	theo dõi
entertainment	giải trí
imply	ngụ ý
revise	chỉnh sửa
set	bộ
qualified	đủ trình độ
chemical	hóa chất
those	đó
plus	cộng thêm
race	cuộc đua
label	nhãn / nhãn hiệu
others	những người/cái khác
qualification	trình độ / khả năng chuyên môn
painting	bức tranh / việc vẽ tranh
contest	cuộc thi
deal	thỏa thuận / khuyến mãi
should	nếu (≈if)
forward	về phía trước / chuyển tiếp
fuel	nhiên liệu
administrative	hành chính
charity	hội từ thiện
pharmaceutical	dược
restore	phục hồi
content	nội dung
leave	nghỉ phép
break	thời gian nghỉ
dedicated	tận tâm
filter	lọc / đồ lọc
auto	ô tô
ad	quảng cáo
turn	chuyển
fact	sự thật / sự việc
admission	việc vào cửa
proud	tự hào
in fact	thật vậy / thật ra
pass	đi qua / vượt qua
talent	tài năng
express	tốc hành
greatly	rất nhiều
expertise	chuyên môn
engineering	kỹ thuật
compensation	tiền đền bù / lương thưởng
title	tựa đề / tựa sách
piece	mẩu / mẩu đồ
tool	công cụ
rather than	thay vì
catering	việc cung cấp suất ăn
convention	hội nghị
deposit	tiền đặt cọc
mark	đánh dấu
mall	trung tâm mua sắm
loss	sự mất mát / thua lỗ
certainly	chắc chắn
reception	buổi đón tiếp / buổi tiệc
stock	cổ phiếu
ones	những cái / những người
automobile	ô tô
reimburse	hoàn tiền
numerous	nhiều
else	khác
background	nền tảng / lý lịch
separate	tách rời
common	thông thường
primary	chủ yếu / chính
view	góc nhìn
formal	trịnh trọng / chính thức
promotion	khuyến mãi
valuable	quý giá
peak	cao điểm / đỉnh điểm
lawn	bãi cỏ
rapidly	nhanh chóng
generate	tạo ra
approach	tiếp cận / đến gần
reward	phần thưởng / thưởng
